,Unnamed: 0,filepaths,pipelines,groups,contrast
12,12,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,right-hand
13,13,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,right-hand
36,36,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-0_con.nii,spm-5-0-0,100,right-hand
37,37,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-hand_spm-5-0-1_con.nii,spm-5-0-1,100,right-hand
60,60,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_spm-5-0-0_con.nii,spm-5-0-0,101,right-hand
61,61,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-hand_spm-5-0-1_con.nii,spm-5-0-1,101,right-hand
84,84,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_spm-5-0-0_con.nii,spm-5-0-0,102,right-hand
85,85,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-hand_spm-5-0-1_con.nii,spm-5-0-1,102,right-hand
108,108,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_spm-5-0-0_con.nii,spm-5-0-0,103,right-hand
109,109,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-hand_spm-5-0-1_con.nii,spm-5-0-1,103,right-hand
132,132,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_spm-5-0-0_con.nii,spm-5-0-0,104,right-hand
133,133,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-hand_spm-5-0-1_con.nii,spm-5-0-1,104,right-hand
156,156,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-hand_spm-5-0-0_con.nii,spm-5-0-0,105,right-hand
157,157,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-hand_spm-5-0-1_con.nii,spm-5-0-1,105,right-hand
180,180,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-hand_spm-5-0-0_con.nii,spm-5-0-0,106,right-hand
181,181,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-hand_spm-5-0-1_con.nii,spm-5-0-1,106,right-hand
204,204,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-hand_spm-5-0-0_con.nii,spm-5-0-0,107,right-hand
205,205,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-hand_spm-5-0-1_con.nii,spm-5-0-1,107,right-hand
228,228,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-hand_spm-5-0-0_con.nii,spm-5-0-0,108,right-hand
229,229,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-hand_spm-5-0-1_con.nii,spm-5-0-1,108,right-hand
252,252,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-hand_spm-5-0-0_con.nii,spm-5-0-0,109,right-hand
253,253,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-hand_spm-5-0-1_con.nii,spm-5-0-1,109,right-hand
